iter	MultiClass
0	1.074140296
1	1.048322464
2	1.028547341
3	1.005691548
4	0.9864284993
5	0.9688091076
6	0.9514787129
7	0.9358144518
8	0.9208945621
9	0.9063827713
10	0.8923520614
11	0.8786336678
12	0.8641798859
13	0.8525495288
14	0.84058117
15	0.8289833705
16	0.8165769189
17	0.8066756461
18	0.7961100579
19	0.7842800174
20	0.773031929
21	0.7634698159
22	0.7530862021
23	0.7432734398
24	0.7346299079
25	0.7269743391
26	0.7181212575
27	0.7096090028
28	0.7027491527
29	0.696305194
30	0.6879958198
31	0.6822541076
32	0.6747299378
33	0.668667506
34	0.6635975778
35	0.6577417113
36	0.6509318561
37	0.6452817894
38	0.6389586996
39	0.6321381684
40	0.627015333
41	0.6225245034
42	0.6176002966
43	0.6116560099
44	0.605419629
45	0.6004090855
46	0.5967737877
47	0.5919251056
48	0.5869082909
49	0.5821192119
50	0.577847051
51	0.5733059962
52	0.5677508081
53	0.5628912563
54	0.5593108882
55	0.553729464
56	0.5488246468
57	0.5443749836
58	0.5401231303
59	0.5362856385
60	0.532476379
61	0.5296573333
62	0.5258023913
63	0.5221196442
64	0.5184943304
65	0.5145103146
66	0.5106168124
67	0.5069871876
68	0.5032049502
69	0.5004579243
70	0.4963332262
71	0.4929687802
72	0.4889546851
73	0.4850006007
74	0.4812827228
75	0.477500833
76	0.474065015
77	0.4715857529
78	0.469533522
79	0.4668558555
80	0.4640610593
81	0.4611775887
82	0.458314363
83	0.456553011
84	0.4539472418
85	0.4513454861
86	0.4489160558
87	0.4470739222
88	0.4445766149
89	0.4421942696
90	0.4395702412
91	0.4375041144
92	0.4353847452
93	0.4337153244
94	0.4317686387
95	0.430349738
96	0.4275752554
97	0.4253847301
98	0.4228022957
99	0.420930224
100	0.4183016863
101	0.4164039768
102	0.4138521317
103	0.4111596258
104	0.4089962931
105	0.4065067623
106	0.4042542265
107	0.4020231847
108	0.3997384282
109	0.3976432
110	0.3957723582
111	0.3935088603
112	0.3915683149
113	0.3899605836
114	0.3881402791
115	0.3859960823
116	0.3844235843
117	0.3819983825
118	0.3808249126
119	0.3786516677
120	0.3765897181
121	0.3748643311
122	0.3734075114
123	0.3713177567
124	0.3701653282
125	0.3689259398
126	0.3677859752
127	0.3662479047
128	0.3645958527
129	0.362822886
130	0.3609400571
131	0.3590611
132	0.357404852
133	0.3561430372
134	0.3550397185
135	0.3529248406
136	0.3514923929
137	0.3496239276
138	0.348552124
139	0.3468997271
140	0.3456037599
141	0.3446351374
142	0.3431734357
143	0.3423310452
144	0.3408497118
145	0.3390005012
146	0.3378808165
147	0.336302412
148	0.3349162942
149	0.3331106374
150	0.3317337258
151	0.3309377258
152	0.3294329035
153	0.328073473
154	0.3265410421
155	0.3254733519
156	0.3240691324
157	0.323090362
158	0.3216397122
159	0.3206063747
160	0.3189893935
161	0.3174100046
162	0.3157751833
163	0.3144210413
164	0.3131793457
165	0.3116031017
166	0.3105274362
167	0.3093563628
168	0.3082639808
169	0.3065903601
170	0.3053426499
171	0.3042003714
172	0.3032524082
173	0.3024259457
174	0.3010151422
175	0.3003533285
176	0.2990131211
177	0.2979413912
178	0.2968470571
179	0.295574568
180	0.2942175426
181	0.2929742149
182	0.2920192379
183	0.2913979512
184	0.2902480707
185	0.2893101649
186	0.2880908082
187	0.2873180701
188	0.2866158409
189	0.2854933273
190	0.2844620811
191	0.2837717959
192	0.2829518525
193	0.2819525118
194	0.2813148632
195	0.2802692878
196	0.2793007618
197	0.2783954008
198	0.2768137366
199	0.2757616904
