iter	Passed	Remaining
0	31	9293
1	48	7196
2	65	6464
3	82	6111
4	101	5962
5	118	5783
6	136	5704
7	153	5599
8	170	5508
9	187	5431
10	204	5373
11	225	5405
12	248	5485
13	267	5471
14	287	5462
15	307	5456
16	326	5431
17	344	5392
18	361	5341
19	378	5294
20	395	5253
21	413	5226
22	430	5185
23	447	5149
24	464	5113
25	481	5073
26	498	5038
27	515	5008
28	533	4988
29	550	4958
30	567	4925
31	584	4895
32	601	4869
33	618	4840
34	635	4810
35	652	4783
36	670	4762
37	687	4736
38	704	4712
39	721	4690
40	738	4667
41	755	4643
42	773	4625
43	790	4601
44	808	4581
45	825	4557
46	842	4535
47	859	4512
48	876	4490
49	893	4466
50	910	4446
51	927	4425
52	945	4405
53	962	4386
54	980	4366
55	997	4345
56	1014	4325
57	1032	4306
58	1049	4285
59	1066	4265
60	1083	4243
61	1101	4227
62	1118	4207
63	1134	4185
64	1152	4165
65	1168	4143
66	1185	4123
67	1202	4102
68	1219	4081
69	1236	4062
70	1255	4047
71	1272	4028
72	1291	4017
73	1309	3998
74	1326	3978
75	1343	3959
76	1360	3939
77	1377	3920
78	1394	3900
79	1412	3884
80	1429	3864
81	1446	3845
82	1463	3826
83	1480	3807
84	1497	3789
85	1515	3770
86	1531	3750
87	1550	3734
88	1566	3714
89	1583	3695
90	1600	3675
91	1617	3655
92	1633	3636
93	1650	3617
94	1667	3598
95	1685	3581
96	1702	3562
97	1719	3543
98	1736	3524
99	1753	3506
100	1770	3488
101	1787	3469
102	1804	3451
103	1822	3435
104	1839	3416
105	1857	3398
106	1874	3380
107	1891	3362
108	1908	3343
109	1925	3325
110	1942	3306
111	1959	3289
112	1977	3272
113	1994	3254
114	2011	3236
115	2028	3218
116	2045	3199
117	2063	3182
118	2080	3164
119	2097	3145
120	2114	3127
121	2132	3111
122	2149	3093
123	2167	3075
124	2184	3057
125	2200	3039
126	2217	3020
127	2234	3002
128	2251	2984
129	2269	2967
130	2287	2950
131	2304	2932
132	2321	2914
133	2339	2897
134	2356	2879
135	2373	2861
136	2390	2843
137	2410	2829
138	2432	2818
139	2452	2802
140	2475	2791
141	2492	2773
142	2509	2755
143	2526	2737
144	2543	2719
145	2560	2701
146	2578	2683
147	2595	2666
148	2612	2648
149	2630	2630
150	2647	2612
151	2663	2593
152	2680	2575
153	2698	2558
154	2714	2539
155	2733	2522
156	2750	2504
157	2767	2486
158	2784	2469
159	2801	2451
160	2818	2433
161	2835	2415
162	2851	2396
163	2868	2378
164	2887	2362
165	2904	2344
166	2921	2326
167	2938	2308
168	2955	2290
169	2972	2272
170	2988	2254
171	3006	2237
172	3024	2220
173	3041	2202
174	3058	2184
175	3075	2166
176	3092	2149
177	3109	2131
178	3126	2113
179	3143	2095
180	3160	2077
181	3177	2060
182	3195	2042
183	3211	2024
184	3229	2007
185	3246	1989
186	3263	1971
187	3280	1954
188	3297	1936
189	3315	1919
190	3332	1901
191	3349	1883
192	3366	1866
193	3383	1848
194	3401	1831
195	3418	1813
196	3435	1796
197	3453	1778
198	3470	1761
199	3487	1743
200	3504	1726
201	3521	1708
202	3538	1691
203	3555	1673
204	3573	1655
205	3590	1638
206	3607	1620
207	3625	1603
208	3642	1585
209	3659	1568
210	3676	1550
211	3693	1533
212	3711	1516
213	3728	1498
214	3745	1480
215	3762	1463
216	3779	1445
217	3796	1428
218	3814	1410
219	3831	1393
220	3848	1375
221	3865	1358
222	3882	1340
223	3899	1323
224	3917	1305
225	3934	1288
226	3951	1270
227	3968	1253
228	3985	1235
229	4002	1218
230	4019	1200
231	4037	1183
232	4054	1165
233	4071	1148
234	4088	1130
235	4105	1113
236	4121	1095
237	4139	1078
238	4155	1060
239	4173	1043
240	4191	1026
241	4208	1008
242	4225	991
243	4242	973
244	4260	956
245	4276	938
246	4293	921
247	4312	904
248	4330	886
249	4347	869
250	4364	851
251	4380	834
252	4398	817
253	4415	799
254	4432	782
255	4450	764
256	4467	747
257	4484	730
258	4501	712
259	4518	695
260	4535	677
261	4552	660
262	4570	642
263	4591	626
264	4615	609
265	4634	592
266	4654	575
267	4671	557
268	4688	540
269	4705	522
270	4722	505
271	4740	487
272	4759	470
273	4775	453
274	4792	435
275	4809	418
276	4826	400
277	4843	383
278	4860	365
279	4877	348
280	4895	331
281	4912	313
282	4929	296
283	4946	278
284	4963	261
285	4981	243
286	4998	226
287	5015	208
288	5032	191
289	5050	174
290	5067	156
291	5084	139
292	5101	121
293	5118	104
294	5135	87
295	5152	69
296	5170	52
297	5187	34
298	5204	17
299	5221	0
