Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.6478260869565218,0.635179503943806,0.6478260869565218,0.6368281014879431,0.7789123463897245
XGBoost,0.6434782608695652,0.6199670569816367,0.6434782608695652,0.6283429546807564,0.7861807676616771
LightGBM,0.6434782608695652,0.6226960839668532,0.6434782608695652,0.6275989700675894,0.7796199799979319
Naive Bayes,0.6217391304347826,0.6240844616772506,0.6217391304347826,0.6190750654422815,0.7545559340240426
Logistic Regression,0.6478260869565218,0.6163243256466291,0.6478260869565218,0.6171577549321063,0.7434693594862432
AdaBoost,0.6217391304347826,0.5926998894620485,0.6217391304347826,0.6030138731412585,0.7412086962180761
MLP,0.6130434782608696,0.5922600394055826,0.6130434782608696,0.6013353541957661,0.7552516425309407
CatBoost,0.6304347826086957,0.5752839962997225,0.6304347826086957,0.5988799505266762,0.805359372291065
Random Forest,0.6260869565217392,0.5692474040655959,0.6260869565217392,0.5879544342607392,0.8151417919239593
SVM,0.591304347826087,0.5843235214690791,0.591304347826087,0.5873319078165834,0.7584737979595627
Decision Tree,0.5521739130434783,0.5555900621118013,0.5521739130434783,0.5535640650507537,0.6416518663966799
KNN,0.5826086956521739,0.5626431190600913,0.5826086956521739,0.55206905370844,0.7250016951341163
