Model,Train_Accuracy,Test_Accuracy,Balanced_Accuracy,F1_Score,ROC_AUC,Overfitting
Logistic Regression,0.8983483315979971,0.9215686274509803,0.9189498897160187,0.9213258895463589,0.9831407513359215,-0.02322029585298324
CatBoost,0.826610038035741,0.869281045751634,0.8688913013509788,0.8714229139351153,0.9665695615768289,-0.04267100771589305
SVM (RBF),0.8118209699468066,0.8496732026143791,0.8473859250068928,0.8509563126597439,0.9610507748819774,-0.03785223266757243
Gradient Boosting,0.7777305164219488,0.8464052287581699,0.8439137027846705,0.8479071175915986,0.9540827059676866,-0.06867471233622113
LightGBM,0.7649761302706417,0.8464052287581699,0.8439137027846705,0.8479223561223731,0.9505995449503346,-0.08142909848752822
XGBoost,0.7796631145392858,0.8202614379084967,0.8170463422479551,0.8224644987094214,0.950657837706391,-0.040598323369210876
Random Forest,0.6889522286677575,0.7156862745098039,0.7016157752044849,0.7002065907968676,0.8809756196238245,-0.026734045842046417
Decision Tree,0.6020148672290573,0.6405228758169934,0.6394776445179672,0.6408163816572922,0.8022937824132725,-0.03850800858793613
K-Nearest Neighbors,0.621317244285785,0.6470588235294118,0.6354425144747725,0.642999656002752,0.8181389316070837,-0.025741579243626744
Naive Bayes,0.41315423953308833,0.32679738562091504,0.33979241338112304,0.24545221823354288,0.585583023361674,0.08635685391217329
