number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,0.452378977549886,2025-12-25 01:36:42.667749,2025-12-25 01:36:49.974681,0 days 00:00:07.306932,0.7993292420985183,2,0.8659969709057025,0.030710573677773714,39,123,0.2904180608409973,4.330880728874676,COMPLETE
1,0.42655809380400866,2025-12-25 01:36:49.976708,2025-12-25 01:36:53.062251,0 days 00:00:03.085543,0.9849549260809971,9,0.5102922471479012,0.06054365855469246,50,96,0.9091248360355031,0.9170225492671691,COMPLETE
2,0.46230671822600716,2025-12-25 01:36:53.063785,2025-12-25 01:36:56.102291,0 days 00:00:03.038506,0.645614570099021,7,0.7159725093210578,0.024878734419814436,36,75,1.4607232426760908,1.8318092164684585,COMPLETE
3,0.44298333576979604,2025-12-25 01:36:56.103780,2025-12-25 01:36:59.716148,0 days 00:00:03.612368,0.7571172192068059,6,0.5998368910791798,0.03920673972242137,18,104,3.0377242595071916,0.8526206184364576,COMPLETE
4,0.5822008785243012,2025-12-25 01:36:59.717606,2025-12-25 01:37:04.334127,0 days 00:00:04.616521,0.9041986740582306,4,0.9828160165372797,0.012151617026673379,28,123,3.4211651325607844,2.2007624686980067,COMPLETE
5,0.5945403197461092,2025-12-25 01:37:04.335865,2025-12-25 01:37:06.586513,0 days 00:00:02.250648,0.954660201039391,3,0.5171942605576092,0.014413697528610409,136,71,1.5585553804470549,2.600340105889054,COMPLETE
6,0.46762405946762853,2025-12-25 01:37:06.587889,2025-12-25 01:37:08.103643,0 days 00:00:01.515754,0.8875664116805573,10,0.9847923138822793,0.05143828405076928,180,36,2.9894998940554256,4.609371175115584,COMPLETE
7,0.6066754047550543,2025-12-25 01:37:08.105045,2025-12-25 01:37:10.302772,0 days 00:00:02.197727,0.6626651653816322,4,0.522613644455269,0.01303561122512888,61,38,4.143687545759647,1.7837666334679465,COMPLETE
8,0.5785470735240619,2025-12-25 01:37:10.304209,2025-12-25 01:37:11.736135,0 days 00:00:01.431926,0.9010984903770198,1,0.5704621124873813,0.023200867504756827,198,77,3.861223846483287,0.993578407670862,COMPLETE
9,0.5689140083960048,2025-12-25 01:37:11.737500,2025-12-25 01:37:16.712620,0 days 00:00:04.975120,0.8645035840204937,8,0.8534286719238086,0.010166803740022877,24,108,1.7923286427213632,0.5793452976256486,COMPLETE
10,0.3631819103690859,2025-12-25 01:37:16.714033,2025-12-25 01:37:17.754409,0 days 00:00:01.040376,0.5089809378074099,10,0.6843643863605487,0.14405863544014455,90,16,0.07797399829228047,0.06153773875051782,COMPLETE
11,0.35645974390028246,2025-12-25 01:37:17.756114,2025-12-25 01:37:19.533809,0 days 00:00:01.777695,0.5085930751344794,10,0.6543779873556573,0.14009709221821554,89,16,0.08527113234981058,0.054616740637143536,COMPLETE
12,0.3581321689259928,2025-12-25 01:37:19.535555,2025-12-25 01:37:20.916150,0 days 00:00:01.380595,0.5018203726540555,10,0.6716702181856073,0.16830762515594053,97,16,0.17270324983211605,0.22751884514054016,COMPLETE
13,0.4131143095380573,2025-12-25 01:37:20.917884,2025-12-25 01:37:22.801367,0 days 00:00:01.883483,0.5048579886309473,8,0.6548138382289023,0.19407481786871603,114,19,4.996812193207757,0.022590642319933907,COMPLETE
14,0.38351029132070896,2025-12-25 01:37:22.803771,2025-12-25 01:37:24.744360,0 days 00:00:01.940589,0.5797654491534234,10,0.7643661547358029,0.09704602571579096,78,43,0.7575207846082378,3.6904917106311634,COMPLETE
15,0.38740341757266616,2025-12-25 01:37:24.746113,2025-12-25 01:37:26.263496,0 days 00:00:01.517383,0.5916361574079215,8,0.7793992915216572,0.0931454203478488,134,48,2.126560410686016,1.439546497325321,COMPLETE
16,0.3633098578647592,2025-12-25 01:37:26.264927,2025-12-25 01:37:27.888157,0 days 00:00:01.623230,0.5636930180091415,7,0.6262329892929221,0.10629412329246435,113,57,0.863121553562868,3.197342331354389,COMPLETE
17,0.35482576117279346,2025-12-25 01:37:27.889645,2025-12-25 01:37:28.824095,0 days 00:00:00.934450,0.6574366255373658,9,0.8146643330149077,0.19422957580663425,148,27,0.06589607190461777,0.4893242440337615,COMPLETE
18,0.3625245654160831,2025-12-25 01:37:28.832821,2025-12-25 01:37:30.052738,0 days 00:00:01.219917,0.6570822892340241,6,0.8369254675969868,0.12796907552616718,156,29,0.9846570056817681,1.3639528624004458,COMPLETE
19,0.41876365297333507,2025-12-25 01:37:30.054120,2025-12-25 01:37:31.520723,0 days 00:00:01.466603,0.7163728055902459,9,0.920417139673753,0.0675631612150025,152,58,2.204674424692299,2.809443730797205,COMPLETE
20,0.37867900214934647,2025-12-25 01:37:31.522105,2025-12-25 01:37:33.776349,0 days 00:00:02.254244,0.7069083206767178,9,0.734380225697641,0.07238197275571763,67,27,0.5043961491799209,0.5087471989315983,COMPLETE
21,0.359087098682469,2025-12-25 01:37:33.778638,2025-12-25 01:37:34.701353,0 days 00:00:00.922715,0.5484039823507281,10,0.80016872218771,0.19956853848868733,95,28,0.07510605812843618,0.2957535817524365,COMPLETE
22,0.37245214922569814,2025-12-25 01:37:34.702833,2025-12-25 01:37:35.682867,0 days 00:00:00.980034,0.6207056512173403,9,0.6799780239481857,0.1598942051493933,125,17,1.2259890775709226,0.001431550615811017,COMPLETE
23,0.3657701040294173,2025-12-25 01:37:35.684365,2025-12-25 01:37:36.772557,0 days 00:00:01.088192,0.5261168287535571,7,0.7123703362205944,0.12337995198393684,95,30,0.4398194204782109,0.6110482711045846,COMPLETE
24,0.35136103500621363,2025-12-25 01:37:36.773969,2025-12-25 01:37:37.889719,0 days 00:00:01.115750,0.6070900197473761,10,0.5688901404632025,0.16240297644918114,157,52,0.48505835838094497,1.290948167017517,COMPLETE
25,0.3879509891838816,2025-12-25 01:37:37.891102,2025-12-25 01:37:39.233392,0 days 00:00:01.342290,0.6036848989595245,8,0.5878688977482006,0.08373638911294316,161,52,0.5736922495866481,1.1945726185329233,COMPLETE
26,0.3682619045876178,2025-12-25 01:37:39.234846,2025-12-25 01:37:40.653333,0 days 00:00:01.418487,0.6932689792988694,9,0.6292709531906837,0.11974037695176147,179,66,1.2140663565276164,1.7353995944753082,COMPLETE
27,0.34942710764042306,2025-12-25 01:37:40.654749,2025-12-25 01:37:41.765068,0 days 00:00:01.110319,0.5540210758507944,5,0.5525190557185995,0.15050297833536433,145,42,0.574416678613634,0.74877509099746,COMPLETE
28,0.3562881664363958,2025-12-25 01:37:41.766462,2025-12-25 01:37:43.142325,0 days 00:00:01.375863,0.7577901533910214,5,0.5382866269274407,0.16762570723018266,175,83,1.8005817736615533,2.164645312512173,COMPLETE
29,0.4347171400968454,2025-12-25 01:37:43.144848,2025-12-25 01:37:44.853357,0 days 00:00:01.708509,0.7907417789853736,4,0.5627983171983076,0.042444452111096605,144,44,0.5319385124411482,1.4340606719901408,COMPLETE
